,Name,Platform,User_Scoree
190,The Wolf Among Us: Episode 5 - Cry Wolf,PC,8.8
191,Ultimate General: Gettysburg,PC,7.7
192,BlazBlue: Chrono Phantasma,PS3,8.3
193,SMITE,PC,8.2
194,Ultra Street Fighter IV,PS3,7.5
195,Persona Q: Shadow of the Labyrinth,3DS,6.5
196,Dark Souls II: Crown of the Old Iron King,PS3,8.1
197,The Blackwell Epiphany,PC,7.7
198,Retro City Rampage DX,3DS,7.5
199,Transistor,PS4,8.2
200,Red Dead Redemption 2,XOne,5.9
201,Red Dead Redemption 2,PS4,7.7
202,God of War,PS4,9.2
203,Celeste,XOne,6.4
204,Undertale,NS,8.1
205,Divinity: Original Sin II - Definitive Edition,XOne,7.5
206,Forza Horizon 4,XOne,7.7
207,Celeste,NS,8.3
208,Divinity: Original Sin II - Definitive Edition,PS4,7.9
209,Bayonetta 2,NS,8.4
210,INSIDE,NS,8.2
211,Sonic Mania Plus,NS,8.8
212,Dead Cells,XOne,8
213,Shadow of the Colossus,PS4,8.5
214,Return of the Obra Dinn,PC,8.6
215,Celeste,PS4,6.5
216,Into the Breach,NS,7.5
217,NieR: Automata - Become as Gods Edition,XOne,9
218,Monster Hunter: World,XOne,7.2
219,Hollow Knight,NS,8.8
220,Monster Hunter: World,PS4,7.8
221,Into the Breach,PC,7.5
222,Dead Cells,NS,8.5
223,Bayonetta + Bayonetta 2,NS,8.7
224,Astro Bot: Rescue Mission,PS4,9
225,Dead Cells,PC,7.6
226,Owlboy,PS4,6.7
227,Okami HD,NS,8.7
228,Forza Horizon 4,PC,7.6
229,The Banner Saga 3,XOne,7.8
230,Injustice 2: Legendary Edition,PS4,7.3
231,Call of Duty: Black Ops 4,XOne,4.7
232,Pillars of Eternity II: Deadfire,PC,7.7
233,Hyper Light Drifter,NS,8
234,Monster Hunter: World,PC,5.4
235,Ikaruga,NS,7.8
236,Celeste,PC,7.2
237,Assassin's Creed Odyssey,PC,5
238,Batman: Arkham City,PS3,8.7
239,Dead Cells,PS4,7.5
240,Hellblade: Senua's Sacrifice,XOne,7.2
241,Dragon Ball FighterZ,NS,8.8
242,Subnautica,PC,8.3
243,Street Fighter V: Arcade Edition,PS4,7
244,Dragon Ball FighterZ,PS4,8.1
245,Assassin's Creed Odyssey,XOne,5.2
246,Marvel's Spider-Man,PS4,8.8
247,Velocity 2X,NS,6.8
248,Owlboy,NS,7.5
249,The Elder Scrolls V: Skyrim,X360,8.5
250,Portal 2,PC,9
251,Portal 2,X360,8.7
252,Portal 2,PS3,8.5
253,Batman: Arkham City,X360,8.7
254,The Elder Scrolls V: Skyrim,PC,8.2
255,The Legend of Zelda: Ocarina of Time 3D,3DS,9
256,Mass Effect 2,PS3,8.5
257,The Legend of Zelda: Skyward Sword,Wii,8.1
258,The Elder Scrolls V: Skyrim,PS3,6.5
259,Iconoclasts,NS,8.2
260,Sonic Mania Plus,PS4,7.9
261,Iconoclasts,PC,7.4
262,Thronebreaker: The Witcher Tales,PC,9
263,The Messenger,NS,7.9
264,Crypt of the NecroDancer: Nintendo Switch Edition,NS,7.5
265,Donkey Kong Country: Tropical Freeze,NS,8.6
266,Shantae and the Pirate's Curse,NS,7.8
267,Dragon Quest XI: Echoes of an Elusive Age,PS4,8.8
268,Unavowed,PC,8
269,Uncharted 4: A Thief's End,PS4,8.3
270,Uncharted 3: Drake's Deception,PS3,8.4
271,The ICO & Shadow of the Colossus Collection,PS3,8.6
272,Rayman Origins,Wii,8.5
273,LittleBigPlanet 2,PS3,8.4
274,Forza Motorsport 4,X360,8.2
275,Batman: Arkham City,PC,8.7
276,Gears of War 3,X360,7.9
277,NBA 2K12,PS3,6.7
278,FIFA Soccer 12,PS3,7.2
279,FIFA Soccer 12,X360,6.8
280,Dragon Ball FighterZ,XOne,7.8
281,Yakuza 0,PC,8.2
282,Destiny 2: Forsaken,XOne,5.5
283,Keep Talking and Nobody Explodes,NS,7.8
284,PlayerUnknown's Battlegrounds,XOne,5.6
285,Mini Metro,NS,8.2
286,Dark Souls Remastered,XOne,5.8
287,Child of Light,NS,8.6
288,Dark Souls Remastered,PS4,6.2
289,Night in the Woods,NS,8.1
290,INSIDE,XOne,8.2
291,Out of the Park Baseball 17,PC,3.4
292,The Witcher 3: Wild Hunt - Blood and Wine,PC,9.2
293,Overwatch,PC,6.7
294,Overwatch,XOne,5.8
295,Forza Horizon 3,XOne,8
296,The Witcher 3: Wild Hunt - Blood and Wine,PS4,8.9
297,INSIDE,PS4,8.2
298,Overwatch,PS4,6.3
299,Stephen's Sausage Roll,PC,5.5
300,NBA 2K17,XOne,6
301,MLB 11: The Show,PS3,7.8
302,Dead Space 2,X360,8.6
303,Super Mario 3D Land,3DS,8.4
304,Deus Ex: Human Revolution,PC,8.5
305,Pushmo,3DS,8.3
306,Metal Gear Solid HD Collection,X360,8.7
307,LIMBO,PS3,7.8
308,Total War: Shogun 2,PC,8.4
309,NBA 2K12,X360,7.7
310,Dark Souls,X360,8.7
311,Deus Ex: Human Revolution,PS3,8.2
312,Guacamelee! 2,PC,7.4
313,Final Fantasy XV: Windows Edition,PC,7.7
314,CrossCode,PC,7.5
