x,y,Name,Genre,Critic_Score,User_Score,Global_Sales,Year
-0.28011083962775013,-0.054306968027629764,Green Day: Rock Band,Misc,7.8,6.6,0.41,2010.0
0.0701329392234043,-0.2750579518658268,Battlefield 2: Modern Combat,Shooter,7.8,7.3,0.41,2006.0
0.8818986867256148,-0.6586082303658376,Shadow Tactics: Blades of the Shogun,Strategy,8.3,8.4,0.41,2016.0
0.7751039124055417,-0.668150560004445,NBA Jam,Sports,8.0,8.5,0.41,2010.0
0.7250690868553769,-0.636614705170417,Rune Factory 3: A Fantasy Harvest Moon,Role-Playing,8.0,8.4,0.41,2010.0
-2.6078960525422543,0.541847387361448,Naughty Bear,Action,4.4,5.5,0.41,2010.0
0.09202373353008565,-0.6002579651469261,Spider-Man: Web of Shadows,Action,6.6,8.6,0.4,2008.0
-2.116233713896912,0.7147056082436487,TNA iMPACT!,Fighting,6.3,4.5,0.4,2008.0
-2.7480355288576908,0.7542703494875563,Beowulf: The Game,Action,4.9,4.7,0.4,2007.0
0.5169611230704622,-0.5862933263613848,Overlord,Adventure,7.7,8.3,0.4,2007.0
0.30561328217023126,-0.5811733058697115,Harry Potter: Quidditch World Cup,Sports,7.2,8.4,0.4,2003.0
-0.5606707063619719,-0.21449653207344832,Project X Zone,Role-Playing,6.5,7.4,0.4,2013.0
0.36461493868005257,-0.5158904416281881,The Gunstringer,Shooter,7.6,8.1,0.4,2011.0
0.11219910318931421,-0.3824158472269353,Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,Action,7.5,7.7,0.4,2009.0
-1.722680232715336,0.38980473026475987,18 Wheeler: American Pro Trucker,Racing,6.0,5.6,0.4,2001.0
-0.40159939875182027,-0.21228537749998116,Marvel: Ultimate Alliance,Role-Playing,6.9,7.3,0.4,2006.0
-0.4038411064917345,-0.2364900572688692,Sega Superstars Tennis,Sports,6.8,7.4,0.4,2008.0
-1.0266760904928556,-0.10010659694941015,Spore Hero,Simulation,5.8,7.2,0.4,2009.0
0.5147194153305477,-0.6104980061302725,The Urbz: Sims in the City,Simulation,7.6,8.4,0.4,2004.0
1.2510742968714834,-0.66472509750446,Rocket League,Sports,9.2,8.2,0.4,2018.0
0.9351733893910953,-0.644942726882507,Castlevania: Portrait of Ruin,Platform,8.5,8.3,0.4,2006.0
0.30561328217023126,-0.5811733058697115,I-Ninja,Platform,7.2,8.4,0.4,2003.0
0.7693769585612,-0.7197679207626371,Harvest Moon: Save the Homeland,Simulation,7.8,8.7,0.4,2001.0
0.6670655997209565,-0.680900890863469,Call of Duty: Finest Hour,Shooter,7.7,8.6,0.4,2004.0
1.135312691591754,-0.7710861462186187,No More Heroes 2: Desperate Struggle,Action,8.5,8.7,0.4,2010.0
0.7203403023864375,-0.6672353873801382,Tomb Raider: Anniversary,Action,7.9,8.5,0.39,2007.0
0.7771002511563452,-0.6261572029075029,Etrian Odyssey IV: Legends of the Titan,Role-Playing,8.2,8.3,0.39,2013.0
-2.7627293136616884,0.6058342696538115,Combat of Giants: Dinosaurs 3D,Strategy,4.3,5.3,0.39,2011.0
-2.05175047253186,0.8493945105714187,FIFA Soccer 12,Sports,7.0,3.9,0.39,2011.0
-1.373679992228694,0.1658457452061463,Super Monkey Ball: Step & Roll,Action,6.0,6.3,0.39,2010.0
0.19309155400581718,-0.642332996266511,Final Fantasy Crystal Chronicles: The Crystal Bearers,Adventure,6.7,8.7,0.39,2009.0
-0.5051542959565769,-0.1766263488212294,Alpha Protocol,Role-Playing,6.8,7.2,0.39,2010.0
-0.6940850594576654,0.07054046935932268,Dungeon Siege III,Role-Playing,7.3,6.3,0.39,2011.0
-1.262401802428793,0.22379743438252955,Donkey Konga 2,Misc,6.5,6.0,0.39,2005.0
0.7815836666361733,-0.5777478433697267,Condemned 2: Bloodshot,Shooter,8.4,8.1,0.39,2008.0
1.4955214707779676,-0.8740217324327932,Advance Wars: Dual Strike,Strategy,9.0,8.9,0.39,2005.0
0.9249630200669248,-0.7449694471784745,LocoRoco,Platform,8.1,8.7,0.39,2006.0
-0.44839434718666943,-0.13554816434859382,Red Faction: Armageddon,Shooter,7.1,7.0,0.39,2011.0
0.25881833373538204,-0.5044360927183242,Ice Age 2: The Meltdown,Platform,7.4,8.1,0.39,2006.0
0.11319727256471548,-0.3614191686784639,Robert Ludlum's The Bourne Conspiracy,Action,7.6,7.6,0.39,2008.0
-0.9368168087166953,-0.26320502691343445,Samurai Warriors Chronicles,Action,5.4,7.8,0.39,2011.0
1.7591458449682777,-0.8864729279896071,Mass Effect 2,Role-Playing,9.6,8.8,0.39,2010.0
0.9249630200669248,-0.7449694471784745,Hitman: Blood Money,Action,8.1,8.7,0.39,2006.0
-0.39163439841676156,-0.09446997987595829,Silent Hill: Homecoming,Action,7.4,6.8,0.39,2008.0
0.3700965235352832,-0.44648440354194097,Metal Gear Solid: Snake Eater 3D,Action-Adventure,7.9,7.8,0.39,2012.0
-1.6671638223099405,0.42767491351697867,EA Sports Active 2,Sports,6.3,5.4,0.39,2010.0
1.4987613478932829,-0.8288203741154336,Metal Gear Solid HD Collection,Action,9.2,8.7,0.38,2011.0
0.16423026749028236,-0.37195834496402075,Marvel: Ultimate Alliance,Role-Playing,7.7,7.6,0.38,2006.0
-0.7797062947431078,0.2998369361891774,Shin Megami Tensei: Nocturne,Role-Playing,8.0,5.4,0.38,2004.0
-0.5108812498009179,-0.2282437095794219,Viking: Battle for Asgard,Action,6.6,7.4,0.38,2008.0
-0.6587440187114982,-0.1094314653084493,Wii Sports Club,Sports,6.7,7.0,0.38,2014.0
-0.44291276233143884,-0.06614212626234693,Turok: Evolution,Shooter,7.4,6.7,0.38,2002.0
0.04622695447063848,-0.5025240734470675,Sega Superstars Tennis,Sports,6.9,8.2,0.38,2008.0
-1.6250976583440313,0.32031701815587005,Marvel Nemesis: Rise of the Imperfects,Fighting,6.0,5.8,0.38,2005.0
0.7280635949815819,-0.573624669525003,Saints Row: The Third,Action,8.3,8.1,0.38,2011.0
1.0260308405426573,-0.7870444782980602,Ghost Trick: Phantom Detective,Adventure,8.2,8.8,0.38,2011.0
0.7235801795017535,-0.622034029062779,Phoenix Wright: Ace Attorney - Dual Destinies,Misc,8.1,8.3,0.38,2014.0
1.7056257733136864,-0.8823497541448835,SSX 3,Sports,9.5,8.8,0.38,2003.0
-0.6087091931613334,-0.1409673201424775,Grandia Xtreme,Role-Playing,6.7,7.1,0.38,2002.0
-0.961194679752402,0.05557898392683146,Virtua Tennis 2009,Sports,6.6,6.5,0.38,2009.0
0.6167854051816809,-0.6315763587013864,Hunter: The Reckoning,Action,7.8,8.4,0.38,2002.0
0.9371697281418978,-0.602949369785564,The Vanishing of Ethan Carter,Adventure,8.7,8.1,0.38,2014.0
-0.29056657794102997,-0.1365450109955435,Pro Evolution Soccer 2011 3D,Sports,7.5,6.9,0.38,2011.0
-1.8932054480141702,0.2843588541749077,Pokemon Channel,Adventure,5.2,6.1,0.38,2003.0
0.27326674955026925,-0.3382113355565258,NBA 2K7,Sports,8.1,7.4,0.38,2006.0
-0.7476051311122569,0.07466364320404638,Need for Speed: Nitro,Racing,7.2,6.3,0.38,2009.0
0.30985132866094844,-0.5149752690038809,Hatsune Miku: Project Mirai DX,Misc,7.5,8.1,0.38,2015.0
0.009642375359959264,-0.32576013999971226,Cogs,Puzzle,7.5,7.5,0.38,2009.0
-0.5795669925424485,0.17369351685306497,Magic: The Gathering - Duels of the Planeswalkers 2012,Strategy,8.0,5.8,0.38,2011.0
-0.29953340890068736,-0.23336373007109482,Bionic Commando,Adventure,7.1,7.3,0.38,2009.0
-0.13946393191513412,-0.21015589694915646,EA Sports MMA,Fighting,7.6,7.1,0.37,2010.0
-2.32010363119111,0.8312250239185109,Major League Baseball 2K6,Sports,6.3,4.1,0.37,2006.0
-3.326808010142099,0.8252892715428478,"Monsters, Inc. Scream Arena",Platform,3.8,4.7,0.37,2002.0
-0.446398008435866,-0.0935548072516513,Quake 4,Shooter,7.3,6.8,0.37,2005.0
-0.446398008435866,-0.0935548072516513,Guitar Hero On Tour: Modern Hits,Misc,7.3,6.8,0.37,2009.0
-0.18053192650564187,-0.08180132303957674,Burnout Paradise Remastered,Racing,8.0,6.6,0.37,2018.0
-0.5890601065945662,-0.49037201319246493,Spider-Man: Friend or Foe,Action,5.4,8.5,0.37,2007.0
-2.5083171394201464,0.5143530323495015,DiRT 2,Racing,4.6,5.5,0.37,2009.0
0.2832317498853278,-0.2203959379325029,Super Street Fighter IV: Arcade Edition,Fighting,8.6,6.9,0.37,2011.0
