,Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
4912,4913,Hyrule Warriors: Definitive Edition,Action,T,NS,Nintendo,Koei Tecmo Games,8.0,0.0,0.46,0.21,0.15,0.07,0.03,2018.0
4913,4914,Star Wars: Demolition,Racing,T,PS,LucasArts,"Luxoflux, Inc.",0.0,0.0,0.46,0.25,0.17,0.0,0.03,2000.0
4914,4915,Bloody Roar II,Fighting,T,PS,Sony Computer Entertainment,Eighting / Raizing,8.2,0.0,0.46,0.25,0.17,0.0,0.03,1999.0
4915,4916,Delta Force: Black Hawk Down,Shooter,T,PS2,NovaLogic,Rebellion Developments,0.0,0.0,0.46,0.22,0.17,0.0,0.06,2005.0
4916,4917,Space Invaders,Shooter,E,SNES,Nintendo,Taito Corporation,0.0,0.0,0.46,0.0,0.0,0.46,0.0,1997.0
4917,4918,.hack//Outbreak Part 3,Role-Playing,T,PS2,Bandai,CyberConnect2,7.1,0.0,0.46,0.14,0.11,0.17,0.04,2003.0
4918,4919,Mother 1+2,Role-Playing,NP,GBA,Nintendo,Ape Studios / HAL Laboratory / Brownie Brown,0.0,0.0,0.46,0.0,0.0,0.45,0.01,2003.0
4919,4920,Top Spin,Sports,E,XB,Microsoft Game Studios,Pam Development,0.0,0.0,0.46,0.36,0.08,0.0,0.02,2003.0
4920,4921,The Golden Compass,Adventure,E10,X360,Sega,Shiny Entertainment,4.4,0.0,0.46,0.3,0.12,0.0,0.04,2007.0
4921,4922,Dora the Explorer: Dora Saves the Snow Princess,Platform,E,DS,2K Play,Black Lantern Studios,0.0,0.0,0.46,0.26,0.16,0.0,0.04,2008.0
4922,4923,Country Dance 2,Misc,E,Wii,GameMill,High Voltage Software,0.0,0.0,0.46,0.43,0.0,0.0,0.03,2011.0
4923,4924,Warhawk,Simulation,E,PS,Sony Computer Entertainment,SingleTrac,0.0,0.0,0.46,0.25,0.17,0.0,0.03,1995.0
4924,4925,ATV Offroad Fury Pro,Racing,E,PSP,Sony Computer Entertainment,Climax Group,7.6,0.0,0.46,0.37,0.04,0.0,0.04,2006.0
4925,4926,LEGO The Hobbit,Action-Adventure,E10,X360,Warner Bros. Interactive Entertainment,Traveller's Tales,0.0,0.0,0.46,0.2,0.22,0.0,0.04,2014.0
4926,4927,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,Platform,NP,GBA,THQ,Climax Group / ImaginEngine,0.0,0.0,0.45,0.33,0.12,0.0,0.01,2005.0
4927,4928,Billiards,Sports,E,PS,Agetec,argent,0.0,0.0,0.45,0.0,0.0,0.45,0.0,2001.0
4928,4929,Missile Command,Shooter,E,PS,Hasbro Interactive,Meyer/Glass Interactive,0.0,0.0,0.45,0.25,0.17,0.0,0.03,1999.0
4929,4930,Harvest Moon DS (US sales),Simulation,E,DS,Natsume,TOSE,0.0,0.0,0.45,0.4,0.05,0.0,0.0,2006.0
4930,4931,Tomb Raider: Underworld,Adventure,T,Wii,Eidos Interactive,Crystal Dynamics,6.3,0.0,0.45,0.13,0.27,0.0,0.05,2008.0
4932,4933,Jikkyou Powerful Pro Yakyuu 3,Sports,NP,SNES,Konami,Diamond Head,0.0,0.0,0.45,0.0,0.0,0.45,0.0,1996.0
4933,4934,We Sing Encore,Misc,NP,Wii,Nordic Games,Le Cortex,0.0,0.0,0.45,0.0,0.4,0.0,0.05,2010.0
4934,4935,Naruto Shippuden: Ultimate Ninja Storm Revolution,Fighting,T,PS3,Namco Bandai Games,CyberConnect2,0.0,0.0,0.45,0.16,0.15,0.09,0.06,2014.0
4935,4936,Jikkyou Powerful Pro Yakyuu 12,Sports,NP,PS2,Konami,PawaPuro Production,0.0,0.0,0.45,0.0,0.0,0.45,0.0,2005.0
4936,4937,Enter the Matrix,Action,T,GC,Atari,Shiny Entertainment,6.5,0.0,0.45,0.34,0.09,0.02,0.01,2003.0
4937,4938,Dead or Alive: Dimensions,Fighting,T,3DS,Tecmo Koei,Team Ninja,7.8,0.0,0.45,0.13,0.22,0.07,0.03,2011.0
4938,4939,God Eater 2,Misc,NP,PSV,Namco Bandai Games,Shift,0.0,0.0,0.45,0.0,0.0,0.45,0.0,2013.0
4939,4940,Scooby-Doo! and the Spooky Swamp,Action,E10,Wii,Warner Bros. Interactive,Torus Games,7.6,0.0,0.45,0.29,0.13,0.0,0.04,2010.0
4940,4941,NASCAR 2005: Chase for the Cup,Racing,E,XB,EA Sports,EA Tiburon,0.0,0.0,0.45,0.34,0.1,0.0,0.02,2004.0
4941,4942,Skylanders: SuperChargers,Action-Adventure,E10,PS4,Activision,Vicarious Visions,0.0,0.0,0.45,0.29,0.09,0.0,0.08,2015.0
4942,4943,J-League Excite Stage '95,Sports,NP,SNES,Epoch,A-Max,0.0,0.0,0.45,0.0,0.0,0.45,0.0,1995.0
4943,4944,Bleach: The Blade of Fate,Fighting,T,DS,Sega,"Treasure Co., Ltd.",8.2,0.0,0.45,0.29,0.01,0.12,0.03,2007.0
4945,4946,Band Hero,Misc,E10,DS,Activision,Vicarious Visions,6.3,0.0,0.45,0.22,0.19,0.0,0.05,2009.0
4946,4947,Vin Diesel: Wheelman,Racing,T,X360,Ubisoft,Tigon,6.7,0.0,0.45,0.24,0.17,0.0,0.04,2009.0
4947,4948,Phantasy Star Online Episode I & II,Role-Playing,T,GC,Sega,Sonic Team,8.2,0.0,0.45,0.23,0.06,0.16,0.01,2002.0
4948,4949,The Powerpuff Girls: Relish Rampage,Action,E,PS2,BAM! Entertainment,VIS Entertainment,3.8,0.0,0.45,0.22,0.17,0.0,0.06,2002.0
4949,4950,Attack on Titan: The Last Wings of Mankind,Action,NP,3DS,Spike Chunsoft,Spike Chunsoft,0.0,0.0,0.45,0.0,0.0,0.45,0.0,2013.0
4950,4951,iCarly,Adventure,E,Wii,Activision,Blitz Games,0.0,0.0,0.45,0.42,0.0,0.0,0.03,2009.0
4951,4952,American Girl: Kit Mystery Challenge!,Adventure,E,DS,THQ,"Webfoot Technologies, Inc.",0.0,0.0,0.45,0.42,0.0,0.0,0.03,2008.0
4952,4953,The Chronicles of Riddick: Escape From Butcher Bay,Shooter,M,XB,VU Games,Starbreeze Studios/Tigon Studios,0.0,0.0,0.45,0.32,0.11,0.0,0.02,2004.0
4954,4955,NFL Head Coach,Sports,E,PS2,EA Sports,EA Tiburon,0.0,0.0,0.45,0.38,0.01,0.0,0.06,2006.0
4955,4956,Burnout Dominator,Racing,E10,PSP,Electronic Arts,Criterion Games,7.8,0.0,0.45,0.02,0.38,0.01,0.05,2007.0
4956,4957,Despicable Me: The Game - Minion Mayhem,Puzzle,E,DS,D3 Publisher,WayForward Technologies,0.0,0.0,0.45,0.37,0.05,0.0,0.03,2010.0
4958,4959,The Sims 3: Ambitions,Simulation,T,PC,Electronic Arts,EA Redwood Shores,7.9,0.0,0.45,0.0,0.29,0.0,0.16,2010.0
4959,4960,Ghostbusters,Action,NP,2600,Activision,Atari,0.0,0.0,0.45,0.42,0.03,0.0,0.0,1985.0
4960,4961,NHL 15,Sports,E10,X360,EA Sports,EA Canada,0.0,0.0,0.45,0.35,0.05,0.0,0.05,2014.0
4961,4962,NCAA Gamebreaker 99,Sports,E,PS,989 Studios,989 Sports,0.0,0.0,0.45,0.25,0.17,0.0,0.03,1998.0
4962,4963,Area 51,Shooter,M,PS2,Midway Games,Midway Studios Austin,7.7,0.0,0.45,0.22,0.17,0.0,0.06,2005.0
4963,4964,Barbie as The Island Princess,Adventure,E,Wii,Activision,Human Soft / Ivolgamus,0.0,0.0,0.45,0.42,0.0,0.0,0.03,2007.0
4964,4965,World Stadium 2,Sports,NP,PS,Namco,Namco,0.0,0.0,0.45,0.0,0.0,0.42,0.03,1998.0
4965,4966,Enemy Territory: Quake Wars,Shooter,T,X360,Activision,Nerve Software,6.7,0.0,0.45,0.3,0.11,0.0,0.04,2008.0
4966,4967,The New York Times Crosswords,Puzzle,T,DS,Majesco,BudCat Creations,0.0,0.0,0.45,0.42,0.0,0.0,0.03,2007.0
4967,4968,NHL 2005,Sports,E,PS2,EA Sports,EA Canada,0.0,0.0,0.45,0.22,0.17,0.0,0.06,2004.0
4968,4969,Dynasty Warriors: Strikeforce,Action,T,PSP,Tecmo Koei,Omega Force,6.4,0.0,0.45,0.03,0.02,0.38,0.02,2009.0
4969,4970,Karaoke Revolution Presents American Idol Encore,Misc,E,Wii,Konami,Blitz Games,0.0,0.0,0.45,0.42,0.0,0.0,0.03,2008.0
4970,4971,Brain Challenge,Misc,E,DS,Ubisoft,Gameloft,0.0,0.0,0.45,0.41,0.01,0.0,0.03,2008.0
4971,4972,Star Wars Jedi Knight: Jedi Academy,Shooter,T,XB,LucasArts,Vicarious Visions,0.0,0.0,0.45,0.34,0.1,0.0,0.02,2003.0
4972,4973,Major League Baseball 2K11,Sports,E,X360,2K Sports,Visual Concepts,0.0,0.0,0.45,0.4,0.03,0.0,0.03,2011.0
4973,4974,Phoenix,Shooter,NP,2600,Atari,Centuri,0.0,0.0,0.45,0.42,0.02,0.0,0.0,1982.0
4976,4977,Lego Batman 3: Beyond Gotham,Action,E10,WiiU,Warner Bros. Interactive Entertainment,Traveller's Tales,7.4,0.0,0.45,0.21,0.21,0.0,0.04,2014.0
4977,4978,Command & Conquer: Red Alert 3,Strategy,T,X360,Bethesda Softworks,EA Los Angeles,7.4,0.0,0.45,0.18,0.23,0.0,0.05,2008.0
4978,4979,F.E.A.R. 3,Shooter,M,PS3,Warner Bros. Interactive,Day 1 Studios,7.8,0.0,0.45,0.21,0.16,0.01,0.07,2011.0
4979,4980,Crash of the Titans,Action,E,Wii,Sierra Entertainment,Radical Entertainment,0.0,9.2,0.45,0.39,0.02,0.0,0.03,2007.0
4980,4981,Terraria,Action-Adventure,T,PS3,505 Games,Engine Software,0.0,0.0,0.45,0.09,0.21,0.09,0.06,2013.0
4981,4982,Apocalypse,Action,T,PS,Activision,Neversoft Entertainment,6.7,0.0,0.45,0.25,0.17,0.0,0.03,1998.0
4982,4983,Fable Anniversary,Role-Playing,M,X360,Microsoft Studios,Lionhead Studios,0.0,0.0,0.45,0.26,0.15,0.01,0.04,2014.0
4983,4984,Yu-Gi-Oh! Destiny Board Traveler,Misc,E,GBA,Konami,KCEJ,0.0,0.0,0.45,0.32,0.12,0.0,0.01,2004.0
4984,4985,My Fashion Studio,Misc,E,DS,Ubisoft,505 Games,0.0,0.0,0.45,0.41,0.01,0.0,0.03,2008.0
4985,4986,L.A. Noire,Adventure,M,NS,Rockstar Games,Team Bondi,7.9,8.0,0.45,0.21,0.21,0.0,0.04,2017.0
4986,4987,The Sims 3: Outdoor Living Stuff,Simulation,T,PC,Electronic Arts,EA Redwood Shores,0.0,0.0,0.45,0.0,0.38,0.0,0.07,2011.0
4987,4988,Yakuza Kiwami,Adventure,M,PS4,Sega,Sega,0.0,0.0,0.45,0.13,0.07,0.21,0.04,2017.0
4988,4989,World Soccer Winning Eleven 5 Final Evolution,Sports,NP,PS2,Konami,Konami,0.0,0.0,0.45,0.0,0.0,0.45,0.0,2001.0
4989,4990,Sphinx and the Cursed Mummy,Adventure,T,PS2,THQ,Eurocom Entertainment Software,0.0,0.0,0.45,0.22,0.17,0.0,0.06,2003.0
4990,4991,Fatal Fury 2,Fighting,NP,SNES,Takara,SNK Corporation,0.0,0.0,0.45,0.0,0.0,0.45,0.0,1994.0
4991,4992,Pokemon Pinball: Ruby & Sapphire (JP weekly sales),Misc,E,GBA,Nintendo,Jupiter Corporation,0.0,0.0,0.45,0.0,0.0,0.44,0.01,2003.0
4992,4993,Pokemon Puzzle League,Puzzle,E,N64,Nintendo,Nintendo Software Technology Corporation,0.0,0.0,0.45,0.36,0.08,0.0,0.01,2000.0
4993,4994,Rampage World Tour,Action,T,N64,Midway Games,Saffire Corporation,0.0,0.0,0.45,0.36,0.08,0.0,0.01,1998.0
4994,4995,PES 2009: Pro Evolution Soccer,Sports,E,Wii,Konami,Konami,8.4,0.0,0.45,0.09,0.26,0.05,0.05,2009.0
4995,4996,Just Dance 4,Music,E10,PS3,Ubisoft,Ubisoft,0.0,0.0,0.45,0.26,0.11,0.0,0.08,2012.0
4996,4997,Pirates of the Caribbean: At World's End,Action,T,Wii,Disney Interactive Studios,Eurocom Entertainment Software,0.0,0.0,0.45,0.39,0.02,0.01,0.04,2007.0
4997,4998,Brunswick Pro Bowling,Sports,E,X360,Crave Entertainment,FarSight Studios,0.0,0.0,0.45,0.38,0.04,0.0,0.03,2010.0
4998,4999,Style Savvy: Styling Star,Simulation,E,3DS,Nintendo,syn Sophia,8.5,0.0,0.45,0.0,0.29,0.14,0.02,2017.0
4999,5000,Tekken Advance,Fighting,T,GBA,Namco,Eighting / Raizing,8.3,0.0,0.45,0.32,0.12,0.0,0.01,2002.0
5000,5001,Shin Megami Tensei: Persona 3,Role-Playing,M,PS2,Atlus,Atlus Co.,8.7,0.0,0.45,0.22,0.03,0.0,0.2,2007.0
5001,5002,LEGO Rock Band,Misc,E,DS,Warner Bros. Interactive,TT Games / Harmonix Music Systems,8.4,0.0,0.45,0.32,0.09,0.0,0.04,2009.0
5002,5003,Persona,Role-Playing,E,PS,Atlus,Atlus Co.,8.1,0.0,0.45,0.0,0.0,0.42,0.03,1996.0
5003,5004,Sega Rally Revo,Racing,E,X360,Sega,Sega Racing Studio,0.0,0.0,0.45,0.12,0.28,0.0,0.05,2007.0
5004,5005,Hot Wheels: Stunt Track Challenge,Racing,E,GBA,THQ,Climax Group,5.3,0.0,0.45,0.32,0.12,0.0,0.01,2004.0
5005,5006,TNA iMPACT!,Fighting,T,X360,Midway Games,Midway Studios Los Angeles,6.4,0.0,0.45,0.26,0.15,0.0,0.04,2008.0
5006,5007,Maze Craze: A Game of Cops 'n Robbers,Action,NP,2600,Atari,Atari,0.0,0.0,0.45,0.42,0.02,0.0,0.0,1978.0
5007,5008,Prey (2017),Shooter,M,XOne,Bethesda Softworks,Arkane Studios,0.0,0.0,0.45,0.21,0.2,0.0,0.04,2017.0
5008,5009,Mobile Suit Gundam,Action,NP,PS,Bandai,Bandai,0.0,0.0,0.45,0.0,0.0,0.42,0.03,1995.0
5009,5010,Bee Movie Game,Action,E,DS,Activision,Vicarious Visions,6.0,0.0,0.45,0.41,0.0,0.0,0.03,2007.0
5010,5011,"Warhammer 40,000: Space Marine",Shooter,M,PS3,THQ,Relic Entertainment,7.3,0.0,0.45,0.13,0.24,0.0,0.08,2011.0
5011,5012,SingStar Take That,Misc,NP,PS2,Sony Computer Entertainment,SCEE London Studio,0.0,0.0,0.45,0.0,0.06,0.0,0.39,2009.0
5013,5014,Final Fantasy Collection,Role-Playing,NP,PS,Square,TOSE,0.0,0.0,0.45,0.0,0.0,0.42,0.03,1999.0
5014,5015,Disney Sing It! High School Musical 3: Senior Year,Misc,E,PS2,Disney Interactive Studios,Zoe Mode,0.0,0.0,0.45,0.09,0.02,0.0,0.34,2009.0
5015,5016,Tales of Zestiria,Role-Playing,NP,PS4,Namco Bandai Games,Namco Bandai Games,0.0,0.0,0.45,0.18,0.16,0.04,0.07,2015.0
5016,5017,Samurai Warriors: Xtreme Legends,Action,T,PS2,KOEI,Omega Force,0.0,0.0,0.45,0.04,0.03,0.36,0.01,2004.0
5017,5018,NHL FaceOff,Sports,E,PS,Sony Computer Entertainment,Sony Computer Entertainment America,0.0,0.0,0.45,0.25,0.17,0.0,0.03,1995.0
5018,5019,WWE WrestleMania 21,Fighting,T,XB,THQ,Studio Gigante,0.0,0.0,0.45,0.34,0.1,0.0,0.02,2005.0
5019,5020,Skylanders: Trap Team,Platform,E10,XOne,Activision,Toys for Bob,0.0,0.0,0.45,0.34,0.07,0.0,0.04,2014.0
5020,5021,NBA Live 2005,Sports,E,GC,EA Sports,EA Canada,8.5,0.0,0.45,0.35,0.09,0.0,0.01,2004.0
5021,5022,Naruto Shippuden: Ultimate Ninja Storm Generations,Fighting,T,X360,Namco Bandai Games,CyberConnect2,0.0,0.0,0.45,0.26,0.14,0.01,0.04,2012.0
5022,5023,Disney Guilty Party,Misc,E,Wii,Disney Interactive Studios,Wideload Games,0.0,0.0,0.45,0.42,0.0,0.0,0.03,2010.0
5023,5024,NBA Live 10,Sports,E,X360,EA Sports,EA Canada,0.0,0.0,0.45,0.4,0.02,0.0,0.03,2009.0
5024,5025,Harry Potter and the Deathly Hallows - Part 1,Action,T,X360,Electronic Arts,EA Bright Light,0.0,0.0,0.45,0.21,0.2,0.0,0.04,2010.0
5025,5026,Defender II,Shooter,NP,2600,Atari,"Williams Electronic Games, Inc.",0.0,0.0,0.45,0.42,0.02,0.0,0.0,1988.0
5026,5027,F.E.A.R. 3,Shooter,M,X360,Warner Bros. Interactive,Day 1 Studios,7.8,0.0,0.45,0.3,0.11,0.01,0.04,2011.0
5027,5028,WWE Day of Reckoning,Fighting,T,GC,THQ,Yuke's Future Media Creators,8.1,0.0,0.45,0.35,0.09,0.0,0.01,2004.0
5028,5029,Worms: Open Warfare 2,Strategy,E10,PSP,THQ,Team17 Software / Two Tribes,8.1,0.0,0.45,0.04,0.27,0.0,0.14,2007.0
5029,5030,ATV Quad Power Racing 2,Racing,E,XB,Acclaim Entertainment,Climax Entertainment,0.0,0.0,0.45,0.36,0.07,0.0,0.01,2003.0
5030,5031,Walt Disney World Quest: Magical Racing Tour,Racing,E,PS,Eidos Interactive,Crystal Dynamics,0.0,0.0,0.45,0.25,0.17,0.0,0.03,2000.0
5031,5032,Skylanders Imaginators,Platform,E10,WiiU,Activision,Toys for Bob,0.0,0.0,0.45,0.19,0.22,0.0,0.04,2016.0
5032,5033,Sled Storm,Racing,T,PS2,EA Sports BIG,EA Canada,0.0,0.0,0.45,0.22,0.17,0.0,0.06,2002.0
5034,5035,Vandal Hearts,Role-Playing,M,PS,Konami,Konami Computer Entertainment Tokyo,7.7,0.0,0.45,0.14,0.09,0.19,0.03,1997.0
5035,5036,Virtua Tennis 4,Sports,E,PS3,Sega,Sega-AM2,6.4,0.0,0.45,0.09,0.24,0.03,0.08,2011.0
5037,5038,Jawbreaker,Action,NP,2600,Tigervision,Tigervision,0.0,0.0,0.45,0.42,0.03,0.0,0.0,1982.0
5038,5039,DmC Devil May Cry,Action,M,X360,Capcom,Ninja Theory,0.0,0.0,0.45,0.27,0.13,0.01,0.04,2013.0
5039,5040,Celebrity Sports Showdown,Sports,E,Wii,Electronic Arts,Electronic Arts,0.0,0.0,0.45,0.18,0.22,0.0,0.05,2008.0
5040,5041,Scooby-Doo! Mystery Mayhem,Adventure,E,PS2,THQ,Artificial Mind and Movement,0.0,0.0,0.45,0.22,0.17,0.0,0.06,2004.0
5041,5042,Mario Golf: Advance Tour,Sports,E,GBA,Nintendo,Camelot Software Planning,0.0,0.0,0.45,0.32,0.12,0.0,0.01,2004.0
5042,5043,Star Ocean 5: Integrity and Faithlessness,Role-Playing,NP,PS4,Square Enix,tri-Ace,0.0,0.0,0.45,0.1,0.13,0.16,0.05,2016.0
5043,5044,Sid Meier's Civilization Revolution,Strategy,E10,DS,2K Games,Firaxis,8.2,7.6,0.45,0.37,0.03,0.02,0.03,2008.0
5044,5045,Silent Hill: Homecoming,Action,M,X360,Konami,Double Helix Games,7.6,0.0,0.45,0.25,0.15,0.0,0.04,2008.0
5045,5046,Discovery Kids: Kitten Corner,Simulation,E,DS,505 Games,505 Games,0.0,0.0,0.45,0.42,0.0,0.0,0.03,2009.0
5046,5047,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,Shooter,T,PSP,Sony Computer Entertainment,Slant Six Games,7.5,0.0,0.45,0.17,0.13,0.06,0.09,2010.0
5047,5048,Rock Band Country Track Pack,Misc,E10,Wii,MTV Games,Harmonix Music Systems,0.0,0.0,0.44,0.41,0.0,0.0,0.03,2009.0
5048,5049,Transformers: Dark of the Moon - Autobots/Decepticons,Action,E10,DS,Activision,Behaviour Interactive Inc.,0.0,0.0,0.44,0.32,0.08,0.0,0.04,2011.0
5049,5050,Yu-Gi-Oh! Capsule Monster Coliseum,Misc,E,PS2,Konami,Konami,0.0,0.0,0.44,0.22,0.17,0.0,0.06,2004.0
5051,5052,Major League Baseball 2K6,Sports,E,PS2,2K Sports,Kush Games,7.3,0.0,0.44,0.37,0.01,0.0,0.06,2006.0
5052,5053,Jampack Volume 13 (RP-M),Misc,M,PS2,Sony Computer Entertainment,Sony Computer Entertainment America,0.0,0.0,0.44,0.37,0.01,0.0,0.06,2005.0
5053,5054,World Soccer Winning Eleven 9,Sports,E,XB,Konami,Konami Computer Entertainment Tokyo,0.0,0.0,0.44,0.06,0.33,0.02,0.03,2006.0
5054,5055,NBA Live 2000,Sports,E,N64,EA Sports,NuFX,0.0,0.0,0.44,0.42,0.02,0.0,0.0,1999.0
5055,5056,"SpongeBob SquarePants: Lights, Camera, Pants!",Misc,E,PS2,THQ,THQ Australia Studios Pty Ltd.,0.0,0.0,0.44,0.37,0.01,0.0,0.06,2005.0
5056,5057,Teenage Mutant Ninja Turtles 2: Battle Nexus,Action,T,PS2,Konami,Konami,0.0,0.0,0.44,0.22,0.17,0.0,0.06,2004.0
5057,5058,Ninja Gaiden 3,Action,M,PS3,Tecmo Koei,Team Ninja,0.0,0.0,0.44,0.19,0.09,0.11,0.05,2012.0
5058,5059,The Thing,Adventure,M,PS2,VU Games,Computer Artworks,0.0,0.0,0.44,0.22,0.17,0.0,0.06,2002.0
5059,5060,Shin Megami Tensei: Devil Survivor Overclocked,Role-Playing,T,3DS,Atlus,Career Soft,7.6,0.0,0.44,0.34,0.01,0.06,0.04,2011.0
5060,5061,Van Helsing,Action,T,PS2,VU Games,Saffire Corporation,0.0,0.0,0.44,0.22,0.17,0.0,0.06,2004.0
5061,5062,X-Men Legends II: Rise of Apocalypse,Role-Playing,T,XB,Activision,Raven Software,8.3,0.0,0.44,0.3,0.12,0.0,0.02,2005.0
5062,5063,Transformers: Fall of Cybertron,Action,RP,X360,Activision,High Moon Studios,0.0,0.0,0.44,0.28,0.12,0.0,0.04,2012.0
5063,5064,Sonic & Sega All-Stars Racing Transformed,Racing,NP,PSV,Sega,Sumo Digital,0.0,0.0,0.44,0.09,0.25,0.0,0.1,2012.0
5064,5065,Transformers: Revenge of the Fallen -- Autobots,Action,E10,DS,Activision,Vicarious Visions,0.0,0.0,0.44,0.26,0.14,0.0,0.04,2009.0
5065,5066,Deadpool,Action,M,X360,Activision,High Moon Studios,0.0,0.0,0.44,0.26,0.14,0.0,0.04,2013.0
5066,5067,Spawn: Armageddon,Action,M,PS2,Namco,Point of View,0.0,0.0,0.44,0.22,0.17,0.0,0.06,2003.0
5067,5068,Lego Batman 3: Beyond Gotham,Action,E10,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,0.0,0.0,0.44,0.24,0.17,0.0,0.04,2014.0
5068,5069,The Godfather (US sales),Action,M,XB,Electronic Arts,Headgate,0.0,0.0,0.44,0.33,0.1,0.0,0.02,2006.0
5069,5070,World Stadium EX,Sports,NP,PS,Namco,Namco,0.0,0.0,0.44,0.0,0.0,0.41,0.03,1996.0
5070,5071,Tiger Woods PGA Tour 2003,Sports,E,XB,EA Sports,EA Redwood Shores,0.0,0.0,0.44,0.35,0.08,0.0,0.01,2002.0
5071,5072,Tony Hawk's Proving Ground,Sports,T,PS3,Activision,Neversoft Entertainment,0.0,0.0,0.44,0.36,0.05,0.0,0.04,2007.0
5072,5073,Battlefield 2: Modern Combat,Shooter,T,PS2,Electronic Arts,Digital Illusions,7.6,0.0,0.44,0.37,0.01,0.0,0.06,2005.0
5073,5074,Sleeping Dogs: Definitive Edition,Action,M,PS4,Square Enix,United Front Games,0.0,0.0,0.44,0.16,0.21,0.0,0.07,2014.0
5074,5075,Petz: Catz 2,Simulation,E,Wii,Ubisoft,Yuke's Media Creations,0.0,0.0,0.44,0.4,0.01,0.0,0.03,2007.0
5075,5076,50 Cent: Bulletproof,Action,M,XB,Vivendi Games,Genuine Games,0.0,0.0,0.44,0.33,0.1,0.0,0.02,2005.0
5076,5077,Densetsu no Stafi 2,Platform,NP,GBA,Nintendo,TOSE,0.0,0.0,0.44,0.0,0.0,0.43,0.01,2003.0
5077,5078,Dance Dance Revolution: Hottest Party 3,Simulation,E10,Wii,Konami,Bemani,0.0,0.0,0.44,0.26,0.14,0.0,0.04,2009.0
5078,5079,Independence Day,Shooter,E,PS,Fox Interactive,Radical Entertainment,0.0,0.0,0.44,0.25,0.17,0.0,0.03,1997.0
5079,5080,Skylanders SWAP Force,Misc,NP,PS4,Activision,Unknown,0.0,0.0,0.44,0.23,0.14,0.0,0.08,2013.0
5080,5081,Hey! Pikmin,Platform,E10,3DS,Nintendo,Arzest,6.8,0.0,0.44,0.17,0.08,0.17,0.03,2017.0
5081,5082,Chocobo Racing,Racing,E,PS,Square EA,SquareSoft,5.4,0.0,0.44,0.07,0.05,0.3,0.03,1999.0
5082,5083,LEGO Star Wars II: The Original Trilogy,Action,E10,XB,LucasArts,Traveller's Tales,8.3,0.0,0.44,0.33,0.1,0.0,0.02,2006.0
5083,5084,Viking: Battle for Asgard,Action,M,X360,Sega,The Creative Assembly,6.2,0.0,0.44,0.16,0.23,0.0,0.05,2008.0
5084,5085,Metal Gear Solid HD Collection,Action,M,PSV,Konami Digital Entertainment,Kojima Productions,0.0,0.0,0.44,0.12,0.2,0.05,0.08,2012.0
5085,5086,Dragon Quest Heroes: Rocket Slime,Adventure,E,DS,Square Enix,TOSE Software,8.3,0.0,0.44,0.13,0.0,0.31,0.01,2006.0
5086,5087,EA Sports UFC 3,Sports,T,XOne,EA Sports,EA Vancouver,0.0,0.0,0.44,0.3,0.1,0.0,0.04,2018.0
5087,5088,Gundam SEED: Federation vs. Z.A.F.T.,Shooter,NP,PS2,Bandai,Capcom,0.0,0.0,0.44,0.0,0.0,0.44,0.0,2005.0
5088,5089,The Legend of Spyro: Dawn of the Dragon,Platform,E10,PS3,Vivendi Games,Etranges Libellules,0.0,0.0,0.44,0.19,0.19,0.0,0.07,2008.0
5089,5090,Family Fest Presents Circus Games,Misc,E,Wii,Ubisoft,Kuju Entertainment,0.0,0.0,0.44,0.1,0.29,0.0,0.05,2008.0
5090,5091,Ms. Pac-Man Maze Madness,Puzzle,E,PS,Namco,Namco,0.0,0.0,0.44,0.25,0.17,0.0,0.03,2000.0
5091,5092,Pro Evolution Soccer 2016,Sports,E,PS3,Konami Digital Entertainment,PES Productions,0.0,0.0,0.44,0.11,0.12,0.16,0.05,2015.0
5092,5093,Blood Omen: Legacy of Kain,Role-Playing,M,PS,Crystal Dynamics,Silicon Knights,7.8,0.0,0.44,0.25,0.17,0.0,0.03,1996.0
5093,5094,The Urbz: Sims in the City (all regions sales),Simulation,E,DS,Electronic Arts,Griptonite Games,0.0,0.0,0.44,0.4,0.01,0.02,0.0,2004.0
5094,5095,Super Bomberman 4,Puzzle,NP,SNES,Hudson Soft,Produce!,0.0,0.0,0.44,0.0,0.0,0.44,0.0,1996.0
5095,5096,G-Force,Action,E10,Wii,Disney Interactive Studios,Eurocom Entertainment Software,7.5,0.0,0.44,0.19,0.2,0.0,0.05,2009.0
5096,5097,Star Fox: Zero,Shooter,E10,WiiU,Nintendo,Nintendo EPD,6.7,0.0,0.44,0.2,0.12,0.09,0.03,2016.0
5097,5098,Bomberman II,Puzzle,NP,NES,Hudson Soft,Hudson Soft,0.0,0.0,0.44,0.16,0.03,0.15,0.1,1992.0
5098,5099,Duke Nukem 64,Shooter,M,N64,GT Interactive,EurocoEntertainment Software,0.0,0.0,0.44,0.35,0.08,0.0,0.01,1997.0
5099,5100,Dragon Ball FighterZ,Fighting,T,NS,Bandai Namco Entertainment,Arc System Works,9.0,0.0,0.44,0.21,0.13,0.07,0.03,2018.0
