,Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
18068,18069,Sega Ages 2500 Series Vol. 26: Dynamite Deka,Action,NP,PS2,Sega,Sega,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2006.0
18069,18070,Kong: The Animated Series,Action,E,GBA,BAM! Entertainment,Planet Interactive,5.0,0.0,0.02,0.01,0.0,0.0,0.0,2002.0
18070,18071,Lumo,Puzzle,NP,PSV,Rising Star Games,Unknown,0.0,0.0,0.02,0.0,0.01,0.0,0.0,2016.0
18071,18072,Air,Adventure,NP,PSV,Prototype,Unknown,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2016.0
18072,18073,Koisuru Otome to Shugo no Tate Portable,Adventure,NP,PSP,Alchemist,Alchemist,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2010.0
18073,18074,PachiPara 3D: Ooumi Monogatari 2 - Pachi Pro Fuuunroku Hana,Misc,NP,3DS,Irem Software Engineering,Unknown,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2012.0
18074,18075,Shirogane x Spirits!,Adventure,NP,PSV,Technical Associates Inc,Unknown,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2016.0
18075,18076,Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,Adventure,NP,PSV,5pb,5pb. Inc.,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2017.0
18076,18077,Bakumatsu Renka: Karyuu Kenshi-den,Adventure,NP,PS2,D3 Publisher,Vridge Inc.,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2007.0
18077,18078,Iridium Runners,Racing,E,PS2,SouthPeak Interactive,Playstos Entertainment,0.0,0.0,0.02,0.01,0.01,0.0,0.0,2008.0
18078,18079,Nodame Cantabile: Tanoshii Ongaku no Jikan Desu,Misc,NP,DS,Namco Bandai,Bandai Namco Games,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2010.0
18079,18080,"Shounen Onmyouji: Tsubasa Yoima, Ten e Kaere",Adventure,NP,PS2,Kadokawa Shoten,Vridge,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2007.0
18080,18081,Princess Frontier Portable,Adventure,NP,PSP,Alchemist,Alchemist,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2011.0
18081,18082,Saints Row: Gat out of Hell,Action,NP,XOne,Deep Silver,Volition Inc.,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2015.0
18082,18083,Tiny Toon Adventures: Wacky Stackers,Puzzle,E,GBA,Conspiracy Entertainment,Warthog,0.0,0.0,0.02,0.01,0.0,0.0,0.0,2001.0
18083,18084,Mary King's Riding School 2,Simulation,NP,Wii,Midas Interactive Entertainment,Midas Interactive Entertainment,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2009.0
18084,18085,Rock Blast,Puzzle,E,Wii,UFO Interactive,UFO Interactive,0.0,0.0,0.02,0.02,0.0,0.0,0.0,2010.0
18085,18086,Higurashi no Naku Koro ni Iki,Action,NP,PS3,Kaga Create,Unknown,0.0,0.0,0.02,0.0,0.0,0.02,0.0,2015.0
18086,18087,Touch Detective (JP sales),Adventure,E10,DS,Atlus,"BeeWorks Co., Ltd.",0.0,0.0,0.02,0.0,0.0,0.02,0.0,2006.0
18087,18088,Emergency Mayhem,Racing,T,Wii,Codemasters,Supersonic Software,0.0,0.0,0.02,0.02,0.0,0.0,0.0,2008.0
